GEOID,NAME
01001,Autauga
01003,Baldwin
01007,Bibb
01009,Blount
01015,Calhoun
01021,Chilton
01033,Colbert
01051,Elmore
01055,Etowah
01061,Geneva
01063,Greene
01065,Hale
01067,Henry
01069,Houston
01073,Jefferson
01077,Lauderdale
01079,Lawrence
01081,Lee
01083,Limestone
01085,Lowndes
01089,Madison
01097,Mobile
01101,Montgomery
01103,Morgan
01107,Pickens
01113,Russell
01115,St. Clair
01117,Shelby
01125,Tuscaloosa
01129,Washington
04003,Cochise
04005,Coconino
04013,Maricopa
04015,Mohave
04019,Pima
04021,Pinal
04025,Yavapai
04027,Yuma
05007,Benton
05025,Cleveland
05031,Craighead
05033,Crawford
05035,Crittenden
05045,Faulkner
05047,Franklin
05051,Garland
05053,Grant
05069,Jefferson
05079,Lincoln
05081,Little River
05085,Lonoke
05087,Madison
05091,Miller
05105,Perry
05111,Poinsett
05119,Pulaski
05125,Saline
05131,Sebastian
05143,Washington
06001,Alameda
06007,Butte
06013,Contra Costa
06017,El Dorado
06019,Fresno
06025,Imperial
06029,Kern
06031,Kings
06037,Los Angeles
06039,Madera
06041,Marin
06047,Merced
06053,Monterey
06055,Napa
06059,Orange
06061,Placer
06065,Riverside
06067,Sacramento
06069,San Benito
06071,San Bernardino
06073,San Diego
06075,San Francisco
06077,San Joaquin
06079,San Luis Obispo
06081,San Mateo
06083,Santa Barbara
06085,Santa Clara
06087,Santa Cruz
06089,Shasta
06095,Solano
06097,Sonoma
06099,Stanislaus
06101,Sutter
06107,Tulare
06111,Ventura
06113,Yolo
06115,Yuba
08001,Adams
08005,Arapahoe
08013,Boulder
08014,Broomfield
08019,Clear Creek
08031,Denver
08035,Douglas
08039,Elbert
08041,El Paso
08047,Gilpin
08059,Jefferson
08069,Larimer
08077,Mesa
08093,Park
08101,Pueblo
08119,Teller
08123,Weld
10001,Kent
10003,New Castle
10005,Sussex
12001,Alachua
12003,Baker
12005,Bay
12009,Brevard
12011,Broward
12015,Charlotte
12017,Citrus
12019,Clay
12021,Collier
12031,Duval
12033,Escambia
12035,Flagler
12039,Gadsden
12041,Gilchrist
12053,Hernando
12055,Highlands
12057,Hillsborough
12061,Indian River
12065,Jefferson
12069,Lake
12071,Lee
12073,Leon
12075,Levy
12081,Manatee
12083,Marion
12085,Martin
12086,Miami-Dade
12089,Nassau
12091,Okaloosa
12095,Orange
12097,Osceola
12099,Palm Beach
12101,Pasco
12103,Pinellas
12105,Polk
12109,St. Johns
12111,St. Lucie
12113,Santa Rosa
12115,Sarasota
12117,Seminole
12119,Sumter
12127,Volusia
12129,Wakulla
12131,Walton
13013,Barrow
13015,Bartow
13021,Bibb
13025,Brantley
13027,Brooks
13029,Bryan
13033,Burke
13035,Butts
13045,Carroll
13047,Catoosa
13051,Chatham
13053,Chattahoochee
13057,Cherokee
13059,Clarke
13063,Clayton
13067,Cobb
13073,Columbia
13077,Coweta
13079,Crawford
13083,Dade
13085,Dawson
13089,DeKalb
13095,Dougherty
13097,Douglas
13101,Echols
13103,Effingham
13113,Fayette
13115,Floyd
13117,Forsyth
13121,Fulton
13127,Glynn
13135,Gwinnett
13139,Hall
13143,Haralson
13145,Harris
13149,Heard
13151,Henry
13153,Houston
13159,Jasper
13169,Jones
13171,Lamar
13173,Lanier
13177,Lee
13179,Liberty
13181,Lincoln
13183,Long
13185,Lowndes
13189,McDuffie
13191,McIntosh
13195,Madison
13197,Marion
13199,Meriwether
13207,Monroe
13211,Morgan
13213,Murray
13215,Muscogee
13217,Newton
13219,Oconee
13221,Oglethorpe
13223,Paulding
13225,Peach
13227,Pickens
13231,Pike
13245,Richmond
13247,Rockdale
13255,Spalding
13259,Stewart
13263,Talbot
13273,Terrell
13289,Twiggs
13295,Walker
13297,Walton
13313,Whitfield
13321,Worth
16001,Ada
16005,Bannock
16015,Boise
16019,Bonneville
16023,Butte
16027,Canyon
16041,Franklin
16045,Gem
16051,Jefferson
16053,Jerome
16055,Kootenai
16069,Nez Perce
16073,Owyhee
16077,Power
16083,Twin Falls
17003,Alexander
17005,Bond
17007,Boone
17013,Calhoun
17019,Champaign
17027,Clinton
17031,Cook
17037,DeKalb
17043,DuPage
17057,Fulton
17063,Grundy
17073,Henry
17077,Jackson
17083,Jersey
17087,Johnson
17089,Kane
17091,Kankakee
17093,Kendall
17097,Lake
17111,McHenry
17113,McLean
17115,Macon
17117,Macoupin
17119,Madison
17123,Marshall
17129,Menard
17131,Mercer
17133,Monroe
17143,Peoria
17147,Piatt
17161,Rock Island
17163,St. Clair
17167,Sangamon
17175,Stark
17179,Tazewell
17183,Vermilion
17197,Will
17199,Williamson
17201,Winnebago
17203,Woodford
18003,Allen
18005,Bartholomew
18007,Benton
18011,Boone
18013,Brown
18015,Carroll
18019,Clark
18021,Clay
18029,Dearborn
18035,Delaware
18039,Elkhart
18043,Floyd
18047,Franklin
18057,Hamilton
18059,Hancock
18061,Harrison
18063,Hendricks
18067,Howard
18073,Jasper
18081,Johnson
18089,Lake
18091,LaPorte
18095,Madison
18097,Marion
18105,Monroe
18109,Morgan
18111,Newton
18115,Ohio
18119,Owen
18121,Parke
18127,Porter
18129,Posey
18133,Putnam
18141,St. Joseph
18145,Shelby
18153,Sullivan
18157,Tippecanoe
18161,Union
18163,Vanderburgh
18165,Vermillion
18167,Vigo
18171,Warren
18173,Warrick
18175,Washington
18183,Whitley
19011,Benton
19013,Black Hawk
19015,Boone
19017,Bremer
19049,Dallas
19061,Dubuque
19075,Grundy
19077,Guthrie
19085,Harrison
19099,Jasper
19103,Johnson
19105,Jones
19113,Linn
19121,Madison
19129,Mills
19153,Polk
19155,Pottawattamie
19163,Scott
19169,Story
19181,Warren
19183,Washington
19193,Woodbury
20015,Butler
20043,Doniphan
20045,Douglas
20061,Geary
20079,Harvey
20085,Jackson
20087,Jefferson
20091,Johnson
20103,Leavenworth
20107,Linn
20121,Miami
20139,Osage
20149,Pottawatomie
20161,Riley
20173,Sedgwick
20177,Shawnee
20191,Sumner
20197,Wabaunsee
20209,Wyandotte
21003,Allen
21015,Boone
21017,Bourbon
21019,Boyd
21023,Bracken
21029,Bullitt
21031,Butler
21037,Campbell
21043,Carter
21047,Christian
21049,Clark
21059,Daviess
21061,Edmonson
21067,Fayette
21077,Gallatin
21081,Grant
21089,Greenup
21091,Hancock
21093,Hardin
21101,Henderson
21103,Henry
21111,Jefferson
21113,Jessamine
21117,Kenton
21123,Larue
21149,McLean
21163,Meade
21185,Oldham
21191,Pendleton
21209,Scott
21211,Shelby
21215,Spencer
21221,Trigg
21227,Warren
21239,Woodford
22001,Acadia
22005,Ascension
22007,Assumption
22015,Bossier
22017,Caddo
22019,Calcasieu
22023,Cameron
22031,De Soto
22033,East Baton Rouge
22037,East Feliciana
22043,Grant
22045,Iberia
22047,Iberville
22051,Jefferson
22055,Lafayette
22057,Lafourche
22063,Livingston
22067,Morehouse
22071,Orleans
22073,Ouachita
22075,Plaquemines
22077,Pointe Coupee
22079,Rapides
22087,St. Bernard
22089,St. Charles
22091,St. Helena
22093,St. James
22095,St. John the Baptist
22099,St. Martin
22103,St. Tammany
22105,Tangipahoa
22109,Terrebonne
22111,Union
22113,Vermilion
22121,West Baton Rouge
22125,West Feliciana
23001,Androscoggin
23005,Cumberland
23019,Penobscot
23023,Sagadahoc
23031,York
24001,Allegany
24003,Anne Arundel
24005,Baltimore
24009,Calvert
24013,Carroll
24015,Cecil
24017,Charles
24021,Frederick
24025,Harford
24027,Howard
24031,Montgomery
24033,Prince George's
24035,Queen Anne's
24037,St. Mary's
24039,Somerset
24043,Washington
24045,Wicomico
24047,Worcester
24510,Baltimore
25001,Barnstable
25003,Berkshire
25005,Bristol
25009,Essex
25011,Franklin
25013,Hampden
25015,Hampshire
25017,Middlesex
25021,Norfolk
25023,Plymouth
25025,Suffolk
25027,Worcester
26017,Bay
26021,Berrien
26025,Calhoun
26027,Cass
26037,Clinton
26045,Eaton
26049,Genesee
26065,Ingham
26067,Ionia
26075,Jackson
26077,Kalamazoo
26081,Kent
26087,Lapeer
26093,Livingston
26099,Macomb
26111,Midland
26115,Monroe
26117,Montcalm
26121,Muskegon
26125,Oakland
26139,Ottawa
26145,Saginaw
26147,St. Clair
26155,Shiawassee
26161,Washtenaw
26163,Wayne
27003,Anoka
27009,Benton
27013,Blue Earth
27017,Carlton
27019,Carver
27025,Chisago
27027,Clay
27037,Dakota
27039,Dodge
27045,Fillmore
27053,Hennepin
27055,Houston
27059,Isanti
27075,Lake
27079,Le Sueur
27095,Mille Lacs
27103,Nicollet
27109,Olmsted
27119,Polk
27123,Ramsey
27137,St. Louis
27139,Scott
27141,Sherburne
27145,Stearns
27157,Wabasha
27163,Washington
27171,Wright
28029,Copiah
28031,Covington
28033,DeSoto
28035,Forrest
28045,Hancock
28047,Harrison
28049,Hinds
28051,Holmes
28059,Jackson
28073,Lamar
28089,Madison
28093,Marshall
28111,Perry
28121,Rankin
28127,Simpson
28131,Stone
28137,Tate
28143,Tunica
28163,Yazoo
29003,Andrew
29013,Bates
29017,Bollinger
29019,Boone
29021,Buchanan
29025,Caldwell
29027,Callaway
29031,Cape Girardeau
29037,Cass
29043,Christian
29047,Clay
29049,Clinton
29051,Cole
29053,Cooper
29059,Dallas
29063,DeKalb
29071,Franklin
29077,Greene
29089,Howard
29095,Jackson
29097,Jasper
29099,Jefferson
29107,Lafayette
29113,Lincoln
29135,Moniteau
29145,Newton
29151,Osage
29165,Platte
29167,Polk
29177,Ray
29183,St. Charles
29189,St. Louis
29219,Warren
29225,Webster
29510,St. Louis
30009,Carbon
30013,Cascade
30063,Missoula
30095,Stillwater
30111,Yellowstone
31025,Cass
31043,Dakota
31051,Dixon
31055,Douglas
31079,Hall
31093,Howard
31109,Lancaster
31121,Merrick
31153,Sarpy
31155,Saunders
31159,Seward
31177,Washington
32003,Clark
32029,Storey
32031,Washoe
32510,Carson City
33011,Hillsborough
33015,Rockingham
33017,Strafford
34001,Atlantic
34003,Bergen
34005,Burlington
34007,Camden
34009,Cape May
34011,Cumberland
34013,Essex
34015,Gloucester
34017,Hudson
34019,Hunterdon
34021,Mercer
34023,Middlesex
34025,Monmouth
34027,Morris
34029,Ocean
34031,Passaic
34033,Salem
34035,Somerset
34037,Sussex
34039,Union
34041,Warren
35001,Bernalillo
35013,Doña Ana
35043,Sandoval
35045,San Juan
35049,Santa Fe
35057,Torrance
35061,Valencia
36001,Albany
36005,Bronx
36007,Broome
36015,Chemung
36027,Dutchess
36029,Erie
36043,Herkimer
36045,Jefferson
36047,Kings
36051,Livingston
36053,Madison
36055,Monroe
36059,Nassau
36061,New York
36063,Niagara
36065,Oneida
36067,Onondaga
36069,Ontario
36071,Orange
36073,Orleans
36075,Oswego
36079,Putnam
36081,Queens
36083,Rensselaer
36085,Richmond
